shortname,question_title,type,page,place
devops_conf_management,What configuration management tools do you / your organization use?,CHECKBOX,47,2
ruby_version_management,Which tools do you use to manage different versions of Ruby?,CHECKBOX,25,4
agile_framework,"What agile software development framework do you use in your team, if any? ",RADIO,59,2
hours_code_hobby,How much time do you spend on personal programming or side projects NOT related to your day job (or primary activity)?,RADIO,51,3
ides,Which IDEs / Editors do you regularly use?,CHECKBOX,14,3
mobile_os_how,How do you develop for mobile operating systems?,CHECKBOX,42,2
mobile_crossplatform_frmwrk,Which cross-platform mobile frameworks do you use?,CHECKBOX,42,3
python_for,What do you use Python for?,CHECKBOX,21,3
csharp_os,What operating system is your C# development environment using?,CHECKBOX,22,8
csharp_vsc_plugins,"Which plugins for Visual Studio Code do you use, if any?",CHECKBOX,22,9
scala_version,Which versions of <u>Scala</u> do you regularly use?,CHECKBOX,28,2
scala_compilationtarget,What are your compilation targets?,CHECKBOX,28,3
scala_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,28,5
python_other_techs,What other technologies do you use in addition to Python?,CHECKBOX,21,7
kotlin_how_long,"How long have you been using Kotlin?
<div id=""gtx-trans"" style=""position: absolute; left: -22px; top: -20px;"">
<div class=""gtx-trans-icon""> </div>
</div>",RADIO,24,6
scala_frameworks,Which frameworks / libraries do you regularly use?,CHECKBOX,28,7
scala_sbt,Which versions of sbt do you regularly use?,CHECKBOX,29,3
scala_interactive,Which interactive Scala environments do you regularly use?,CHECKBOX,29,4
scala_compiler_plugins,Which compiler plugins do you regularly use for Scala?,CHECKBOX,29,5
go_multipleversions,Do you use multiple versions of Go at the same time?,RADIO,35,3
go_gopath,Do you have a single global GOPATH or use one GOPATH per project?,RADIO,35,4
go_multipleprojects,Do you edit multiple Go projects at the same time?,RADIO,35,5
go_packagemanager,"Which package managers do you use regularly, if any?",CHECKBOX,35,7
go_packagemanager_migrate,Do you plan to migrate to another package manager in the next 12 months?,CHECKBOX,36,1
go_frameworks,"Which Go web frameworks do you use regularly, if any?",CHECKBOX,36,2
go_router,"Which Go router do you use regularly, if any?",CHECKBOX,36,5
go_testing,"Which testing frameworks do you use regularly, if any?",CHECKBOX,36,6
go_external_deps,How many external dependencies do you have in your projects?,RADIO,36,7
go_code_size,What is the size of the codebase you are working with in the IDE / editor?,RADIO,36,8
primary_proglang,What are your primary programming languages? Choose no more than 3 languages.,CHECKBOX,10,1
kotlin_languages_before,What languages did you use before you switched to Kotlin?,CHECKBOX,24,9
scala_ide_additional,"What additional editor / IDE do you use for Scala the most, if any?",RADIO,29,1
devops_server_templating,What server templating tools do you / your organization regularly use?,CHECKBOX,47,3
devops_container_orchestration,"What container orchestration services do you use in production, if any?",CHECKBOX,47,7
devops_keep_artifacts,"Where do you keep your artifacts, if you do?",CHECKBOX,47,10
learn_pl,"What programming languages have you started learning / continued to learn in the last 12 months, if any?",CHECKBOX,54,2
learn_what,"What did you use to learn new tools / technologies / programming languages in the last 12 months, if you did?",CHECKBOX,54,3
ide_theme,Do you prefer a dark or light theme for your Editor / IDE?,RADIO,57,1
it_core,Is IT your company’s core business?,RADIO,58,3
sectors_it,In which of the following sectors is your company primarily active?,CHECKBOX,58,4
sectors_nonit,In which of the following sectors is your company primarily active?,CHECKBOX,58,5
pairprog_do,Do you practice pair programming?,CHECKBOX,59,3
devops_infr_provisioning,What infrastructure provisioning tools do you / your organization use?,CHECKBOX,47,5
devops_involved,To what degree are you personally involved in infrastructure development?,RADIO,47,1
kind_of_dev,What kind of development does your company do?,CHECKBOX,58,6
java_unittesting,"Which unit-testing frameworks do you use, if any?",CHECKBOX,40,6
tools_use,What kinds of tools do you use?,TABLE,18,2
swiftoc_platforms,Which Apple platforms do you develop for?,CHECKBOX,27,2
swiftoc_cpp_libs,Do you have C++ code / C++ libraries in your project?,RADIO,27,5
swiftoc_ui_frameworks,"Which UI testing frameworks do you regularly use, if any?",CHECKBOX,27,10
swiftoc_db_viewer_do,Do you use an external database viewer?,RADIO,27,14
swiftoc_db_viewer,Which database viewer do you use the most?,RADIO,27,15
swiftoc_together,Do you use Swift and Objective-C together in the same project?,RADIO,27,4
employment_status,What is your employment status?,RADIO,3,2
test_types,What types of tests do you have in your projects?,CHECKBOX,13,2
db,"Which databases have you used in the last 12 months, if any?",CHECKBOX,13,4
c_dependencymanager,What dependency managers do you use in your projects?,CHECKBOX,19,6
cpp_dependencymanager,How do you manage your third party libraries in C++?,CHECKBOX,20,12
cpp_guidelines_tools,Which of the following tools do you or your team use for guideline enforcement or other code quality/analysis? (Select all that apply),CHECKBOX,20,18
cpp_guidelines_sources,Which of the following coding advice/guidelines sources do you or your team actively use?,CHECKBOX,20,19
python_ds_libs,What data science frameworks do you use in addition to Python?,CHECKBOX,21,5
python_other_libs,Which of the following frameworks / libraries do you use in addition to Python?,CHECKBOX,21,6
python_web_libs,What web frameworks / libraries do you use in addition to Python?,CHECKBOX,21,4
js_sslang,What style sheet languages and approaches do you regularly use?,CHECKBOX,30,6
learn_time,How much time per week do you spend on learning new tools / technologies / programming languages?,RADIO,54,6
learn_kind_of_content,What kind of learning content do you prefer?,RADIO,54,5
php_qualitytools,"What additional quality tools do you use regularly, if any?",CHECKBOX,23,10
php_templateengines,What template engines do you use?,CHECKBOX,23,11
php_profiler,What tools for profiling or measuring performance do you use?,CHECKBOX,23,12
devops_use_docker,How do you use containers?,CHECKBOX,47,6
go_modules_outside,Do you put your Go modules project inside or outside the GOPATH?,RADIO,36,9
go_migrate,Do you plan to migrate your projects to Go modules in the next 12 months?,RADIO,36,10
csharp_vsplugins,What plugins do you use with Visual Studio?,CHECKBOX,22,7
csharp_vsedition,What edition of Visual Studio do you use?,RADIO,22,11
swiftoc_mock,Which mock / matcher frameworks do you use?,CHECKBOX,27,8
kotlin_jdk,Which JDK versions do you target with Kotlin? ,CHECKBOX,24,3
kotlin_purposes,"What do you use Kotlin for?
<div id=""gtx-trans"" style=""position: absolute; left: -16px; top: 25px;"">
<div class=""gtx-trans-icon""> </div>
</div>",CHECKBOX,24,7
kotlin_projecttypes,What types of projects do you primarily use Kotlin for?,CHECKBOX,24,8
communication_tools,Which of the following communication tools do you regularly use for work?,CHECKBOX,14,2
space_tools_mobile,"For which of the following tools do you use mobile apps, if any?",CHECKBOX,53,1
space_chat,Which instant messengers / chat tools do you use at work? ,CHECKBOX,53,7
space_video_calls,Which tools do you use for video calls / video conferences in your company / organization?,CHECKBOX,53,8
space_knowledge_base,Which tools do you use in your company / organization for Knowledge Sharing?,CHECKBOX,53,9
space_document_collaboration,What document collaboration platforms do you use in your company / organization?,CHECKBOX,53,11
space_file_sharing,What file sharing tools or services do you use in your company / organization?,CHECKBOX,53,10
swiftoc_serverside,Do you develop server-side projects using Swift?,RADIO,27,17
swiftoc_serverside_frameworks,Which frameworks do you use for server-side development with Swift?,CHECKBOX,27,18
rust_how,How do you use Rust?,CHECKBOX,31,2
rust_how_long,How long have you been using Rust?,RADIO,31,3
rust_other_langs,Which programming languages do you use in your projects along with Rust?,CHECKBOX,31,4
rust_code_interact,How does Rust code interact with the other parts:,CHECKBOX,31,5
rust_ide,What IDEs / editors do you use for Rust development?,CHECKBOX,31,7
rust_profiler,What profiling tools do you use for Rust?,CHECKBOX,34,4
terms,"<strong><span style=""font-size:16px;""><span style=""color:#B22222;"">* </span>Indicates a required question<br /><br /><a href=""https://www.jetbrains.com/legal/terms/survey-terms.html"" target=""_blank"">Survey Terms and Conditions</a></span></strong>",CHECKBOX,2,3
rust_platforms,What platform do you target with your Rust projects?,CHECKBOX,34,6
rust_devs_count,How many developers work on your Rust codebase?,RADIO,34,7
space_calendar,What calendar software do you use in your company / organization?,CHECKBOX,53,5
space_mail_service,Which corporate mail services / tools do you use in your company / organization?,CHECKBOX,53,6
where_host,Where do you host your databases and / or services and / or applications that you or your company develop?,CHECKBOX,48,1
where_host_primarly,Where do you primarily host? ,RADIO,48,2
rust_projecttypes,What kind of projects do you develop in Rust?,CHECKBOX,34,5
go_how,How do you use Go?,RADIO,35,2
go_templateengines,Which template engine do you use for Go development?,CHECKBOX,35,6
go_ide,Which IDE / editor do you mostly use for Go development?,RADIO,35,8
position_level,Which of the following best describes the level of your current position?,RADIO,3,4
do_crossplatform,Do you develop cross-platform software?,RADIO,46,1
crossplatform_platform,For which target platforms do you develop cross-platform software?,CHECKBOX,46,2
crossplatform_how_os,How do you usually work with different operating systems / platforms?,CHECKBOX,46,3
vcs_how,"How do you prefer to work with a version control system (Git, SVN, etc.)",CHECKBOX,18,6
is_testing_integral,Is testing an integral part of the development process in your company / team?,RADIO,44,1
do_case_design,Does your testing process include test case design?,RADIO,44,3
test_design_how,How are test design and test execution performed in your company?,RADIO,44,4
testing_types,Which types of testing are used in your project? ,CHECKBOX,44,5
testers_qa_ratio,What is the ratio of the number of testers / QA Engineers to software developers in your project?,RADIO,44,7
store_testcases,What tools do you use to store test cases?,CHECKBOX,44,10
test_management_tools, What test management tools do you use?,CHECKBOX,44,11
automated_tests,Please provide an estimate of how many of your project tests are automated?,RADIO,44,12
auto_tests_pl,Which programming languages do you use for test automation in your project?,CHECKBOX,44,14
testers_qa_pskills,How many testers / QA Engineers have <u>programming skills</u> in your project?,RADIO,44,8
testers_qa_manual,How many testers / QA Engineers do only <u>manual testing</u> in your project?,RADIO,44,9
auto_tests_frameworks,"Which test frameworks / tools / technologies do you use, if any?",CHECKBOX,44,13
go_buildsystem,"Which build systems do you regularly use, if any?",CHECKBOX,36,11
devops_run_cont_apps,How do you run your containerized application during development?,CHECKBOX,47,9
lifestyle_infosource,What sources of information do you use in general?,CHECKBOX,63,2
lifestyle_adblock,Do you use any tools for blocking online advertisements (such as AdBlock)?,RADIO,64,2
lifestyle_smartphone,Do you use your smartphone to read professional materials?,RADIO,64,3
lifestyle_personal_data,How do you feel about personal data collection?,RADIO,64,4
lifestyle_charity,Do you contribute to charity in any way?,RADIO,65,3
lifestyle_charity_reasons,"People volunteer, donate their time and money, and participate in charitable causes for a variety of reasons. What are some of your reasons or motivations for doing so?",CHECKBOX,65,5
lifestyle_charity_practices,What charitable practices do you participate in?,CHECKBOX,65,6
lifestyle_charity_imp,What areas are of most importance for you in your charitable practices? (Please select up to 3),CHECKBOX,65,7
lifestyle_hobbies,What hobbies do you pursue in your free time? (Please choose up to 3) ,CHECKBOX,64,5
pull_requests,Do you use pull/merge requests in your company / organization workflow?,RADIO,18,7
lifestyle_infosource_for,What do you use each type of information source for? ,TABLE,64,1
jb_prod_use,Which of the following JetBrains products do you <strong>currently use</strong>?,CHECKBOX,5,2
jb_prod_exp,Which of the following JetBrains products <strong>have you already tried</strong>?,CHECKBOX,5,3
code_yrs,How many years of professional coding experience do you have?,RADIO,4,2
ruby_front_js,Do you use any frontend JavaScript framework along with Ruby on Rails or another server-side Ruby framework?,CHECKBOX,26,5
cpp_err_report_mthds,What error reporting methods are allowed on your current project (work or school)?,CHECKBOX,20,13
php_how_debug,How do you usually debug PHP code?,RADIO,23,4
php_async_libs,Do you use any libraries or frameworks for asynchronous PHP?,CHECKBOX,23,6
php_run_apps_prod,How do you run your PHP applications in production?,CHECKBOX,23,7
mooc_platform,What Massive Open Online Course (MOOC) platforms do you use?,CHECKBOX,54,4
bigdata_platform_use,"Which big data analytics platforms do you use?
<div id=""gtx-trans"" style=""position: absolute; left: -35px; top: 25px;"">
<div class=""gtx-trans-icon""> </div>
</div>",CHECKBOX,41,3
bigdata_spark_version_use,What Spark version do you use?,CHECKBOX,41,5
bigdata_tools_use,Which big data tools do you use?,CHECKBOX,41,4
bigdata_where_hosted,Where is most of your data hosted?,RADIO,41,6
db_how_long,How long have you worked with databases?,RADIO,39,3
db_debug_stored_proc,Do you debug stored procedures?,RADIO,39,4
db_have_tests,Do you have tests in your database?,RADIO,39,5
db_keep_scripts_vcs,Do you keep your database scripts in a version control system?,RADIO,39,6
db_connections,How many connections do you have in your database explorer?,RADIO,39,7
db_do_comm,Do you write comments for the database objects?,RADIO,39,8
db_n_rows,Approximately how many rows (or equivalent) does your largest table have?,RADIO,39,9
mcrsrvc_design_approaches,What approaches do you use in your system design?,CHECKBOX,46,5
mcrsrvc_parts_communicate,How do the distributed parts of your application communicate?,CHECKBOX,46,6
mcrsrvc_code_or_spec,"When you implement new web-service APIs, do you start from the code or the specification?",RADIO,46,7
mcrsrvc_how_declare,How do you declare and document your APIs?,CHECKBOX,46,8
mcrsrvc_store_api_spec,Where do you store API specifications?,RADIO,46,9
mcrsrvc_how_vcs,How do you organize version control for services?,RADIO,46,10
pairprog_tools_remote,What tools do you use for remote pair programming?,CHECKBOX,60,1
pairprog_ide,What editor / IDE do you use for collaborative development?,CHECKBOX,60,2
pairprog_how_cloud,How do you use cloud services in your development workflow?,CHECKBOX,60,3
pairprog_why_cloud,I use cloud services because:,CHECKBOX,60,4
r_version,Which version of R do you mainly use? ,RADIO,37,2
r_ide,What IDE do you use to code R?,CHECKBOX,37,3
r_what_for,What do you use R for?,CHECKBOX,37,4
r_do_libs,Have you ever written(or contributed to) an R package?,RADIO,37,5
r_use_libs,Which of the following packages do you regularly use with R?,CHECKBOX,37,6
r_code_form,Which form of R code organization do you use?,CHECKBOX,37,7
r_execute,Where do you execute R code?,CHECKBOX,37,8
swiftoc_plan_catalyst,Do you plan to use Mac Catalyst to adapt your iOS applications to macOS?,RADIO,27,3
swiftoc_plan_spm,Do you plan to replace CocoaPods dependencies with SPM packages?,RADIO,27,12
swiftoc_ide,Which editor / IDE do you primarily use for server-side development with Swift?,RADIO,27,19
edu_type_of_inst,What type of educational institution do you go to?,RADIO,55,1
edu_degree,Which of the following degrees are you currently pursuing? ,RADIO,55,2
edu_major_sub,What subject is your major?,RADIO,55,3
bigdata_stat_libs,"Which statistics package(s) do you use to analyze and visualize data, if any?",CHECKBOX,41,2
space_use_dashboards,Do you use any dashboards or reporting solutions at work?,RADIO,53,2
rust_missed_ftrs,What Rust features do you miss the most in IDEs?,CHECKBOX,34,2
work_day_start,What time do you usually start your working day?,RADIO,59,5
rust_how_debug,How do you usually debug your Rust code?,RADIO,34,3
edu_pl,What programming languages have you studied at your educational institution?,CHECKBOX,55,4
edu_tools_adviced,"Which of the following tools do your teachers / professors advise you to use, if any?",CHECKBOX,55,5
activities_kinds,In which kinds of activities are you involved?,CHECKBOX,3,6
target_platforms,For which platforms do you develop?,CHECKBOX,3,7
sw_types_developed,"What types of software do you develop (including apps in any programming language, for either professional or personal purposes)?",CHECKBOX,3,8
java_sw_developed,What types of software do you develop with Java?,CHECKBOX,40,12
c_sw_developed,What types of software do you develop with С?,CHECKBOX,19,8
cpp_sw_developed,What types of software do you develop with C++?,CHECKBOX,20,16
mobile_ndevs_ios_andoid,How many developers work on your mobile application on both iOS and Android simultaneously (including yourself)?,RADIO,42,4
mobile_apps_functionality,Which of the following best describes the functionality of the mobile app you currently develop?,RADIO,42,5
mobile_apps_components,Which of the following components do you use in the mobile app you currently develop?,CHECKBOX,42,6
mobile_UI_native_imp,How important is it for you that your mobile app's UI has a native appearance?,RADIO,42,7
mobile_UI_perfom_imp,How important is it for you that your mobile app's UI has a high performance?,RADIO,42,8
scala_use_dotty,Do you use or plan to use Scala 3 (Dotty)?,RADIO,29,8
scala_tools,What other tools do you use for Scala?,CHECKBOX,29,7
go_sw_peveloped,What types of software do you develop with Go?,CHECKBOX,35,9
kotlin_jb_libs,"<span style=""font-size:16px;"">What JetBrains Kotlin libraries and frameworks do you currently use, if any?</span>",CHECKBOX,24,4
kotlin_libs,"<span style=""font-size:16px;"">What other Kotlin libraries and frameworks do you currently use, if any?</span>",CHECKBOX,24,5
mcrsrvc_do,Do you develop microservices? ,RADIO,46,4
cpp_move_11,"Do you plan to move from C++11 to another C++ standard in the next 12 months? If so, to which one?",RADIO,20,4
cpp_move_14,"Do you plan to move from C++14 to another C++ standard in the next 12 months? If so, to which one?",RADIO,20,5
cpp_move_17,"Do you plan to move from C++17 to another C++ standard in the next 12 months? If so, to which one?",RADIO,20,6
cpp_move_98,"Do you plan to move from C++98 / C++03 to another C++ standard in the next 12 months? If so, to which one?",RADIO,20,3
php_sw_developed,What types of software do you develop with PHP?,CHECKBOX,23,13
kotlin_ide,"<span style=""font-size:16px;"">Which IDE do you use most regularly for Kotlin development?</span>
<div id=""gtx-trans"" style=""position: absolute; left: -52px; top: 27.2222px;"">
<div class=""gtx-trans-icon""> </div>
</div>",RADIO,24,12
know_jb,What do you know about JetBrains?,RADIO,5,1
space_tooling_stack,Is your company / organization tied to any tooling stack / platform?,CHECKBOX,53,12
space_tools_code_review,Which tools do you use in your company / organization for Code Review?,CHECKBOX,53,4
space_tools_repo,Which tools do you use in your company / organization for Artifact / Repository Management?,CHECKBOX,53,3
comp_ram,How much RAM do you have on the computer you use most often?,RADIO,50,1
ruby_sw_developed,What types of software do you develop with Ruby?,CHECKBOX,26,6
scala_sw_developed,What types of software do you develop with Scala? ,CHECKBOX,29,9
country,"What is your country or region? 
<div id=""gtx-trans"" style=""position: absolute; left: 142px; top: 25px;"">
<div class=""gtx-trans-icon""> </div>
</div>",MENU,4,5
comp_disk_type,What disc type do you use most often for your work?,RADIO,50,2
company_coders,How many people write code at your company (approximately)?,RADIO,58,2
swiftoc_unittesting_write,Do you write unit-tests for your Swift or Objective-C development?,RADIO,27,6
csharp_lang,"Which programming languages are you using in your .NET project?
<div id=""gtx-trans"" style=""position: absolute; left: -86px; top: 25px;"">
<div class=""gtx-trans-icon""> </div>
</div>",CHECKBOX,22,3
VS_subscription,Does your employer cover your Visual Studio subscription?,RADIO,22,12
csharp_performance_when,When do you usually use profiling or diagnostics tools?,RADIO,22,15
csharp_performance_who,Who is responsible for profiling or diagnostics in your project?,RADIO,22,16
graphql_approach,Which approach to development with GraphQL is used in the project you're currently working on?,RADIO,38,1
graphql_tasks,What tasks with GraphQL do you personally do?,CHECKBOX,38,2
graphql_tech,Which GraphQL-related technologies are used in the projects you’re working with?,CHECKBOX,38,3
go_proxy,What kind of Go modules proxy do you use?,CHECKBOX,36,3
go_vendoring,Do you use vendoring in your project?,RADIO,36,4
r_debug,What do you use to debug your code? ,CHECKBOX,37,9
"",Is your current project planning to use any of these C++20 features in the next 12 months?,CHECKBOX,20,7
vs_plugins,"What plugins for Visual Studio do you use, if any?",CHECKBOX,20,10
cpp_other_lang,Which other programming languages do you use in your projects along with C++?,CHECKBOX,20,17
kotlin_ide_enough,Do you feel the IDE provides enough features to support the language and related technologies?,RADIO,24,13
kotlin_ide_satisfaction,"How satisfied are you overall with the performance of the IDE (responsiveness, code highlighting, completion speed, etc.)?",RADIO,24,14
kotlin_ide_support,"How would you rate the overall quality of the Kotlin support in the IDE (refactorings, code completion, debugging experience, etc.)?",RADIO,24,15
kotlin_what_for,What do you use Kotlin for?,CHECKBOX,24,2
kotlin_how_learn,"How did you learn Kotlin?
<div id=""gtx-trans"" style=""position: absolute; left: -11px; top: -20px;"">
<div class=""gtx-trans-icon""> </div>
</div>",RADIO,24,11
ci_jenkins,Jenkins,CHECKBOX,17,1
ci_gitlab_ci,Gitlab CI,CHECKBOX,17,2
ci_travis_ci,Travis CI,CHECKBOX,17,3
ci_github_actions,GitHub Actions,CHECKBOX,17,4
ci_circleci,CircleCI,CHECKBOX,17,5
ci_azure_devops,Azure DevOps,CHECKBOX,17,6
ci_teamcity,TeamCity,CHECKBOX,17,7
ci_bitbucket_pipelines,Bitbucket Pipelines,CHECKBOX,17,8
ci_aws_codepipeline,AWS CodePipeline / AWS CodeStar,CHECKBOX,17,9
ci_bamboo,Bamboo,CHECKBOX,17,10
ci_google_cloud_build,Google Cloud Build,CHECKBOX,17,11
ci_appveyor,AppVeyor,CHECKBOX,17,12
ci_drone,Drone,CHECKBOX,17,13
ci_gocd,GoCD,CHECKBOX,17,14
ci_codeship,Codeship,CHECKBOX,17,15
ci_custom_tool,Custom tool,CHECKBOX,17,16
vcs,"Which Version Control Services do you regularly use, if any?",TABLE,17,5
vcs_github,GitHub,CHECKBOX,17,1
vcs_gitlab,GitLab,CHECKBOX,17,2
vcs_bitbucket,Bitbucket,CHECKBOX,17,3
vcs_azure_devops_(former_microsoft_tfs_/_visual_studio_team_services),Azure DevOps (former Microsoft TFS / Visual Studio Team Services),CHECKBOX,17,4
vcs_amazon_codecommit,Amazon CodeCommit,CHECKBOX,17,5
vcs_perforce,Perforce,CHECKBOX,17,6
vcs_sourceforge,SourceForge,CHECKBOX,17,7
vcs_phabricator,Phabricator,CHECKBOX,17,8
vcs_teamforge_scm,TeamForge SCM,CHECKBOX,17,9
vcs_assembla,Assembla,CHECKBOX,17,10
vcs_helix_core_version_control,Helix Core Version Control,CHECKBOX,17,11
vcs_gitcolony,Gitcolony,CHECKBOX,17,12
vcs_rhodecode,RhodeCode,CHECKBOX,17,13
vcs_custom_tool,Custom tool,CHECKBOX,17,14
vcs_none,None,CHECKBOX,17,15
tools_company_jira,Jira,CHECKBOX,17,1
tools_company_confluence,Confluence,CHECKBOX,17,2
tools_company_github_issues,GitHub Issues,CHECKBOX,17,3
tools_company_trello,Trello,CHECKBOX,17,4
tools_company_gitlab_issues,GitLab Issues,CHECKBOX,17,5
tools_company_redmine,Redmine,CHECKBOX,17,6
tools_company_youtrack,YouTrack,CHECKBOX,17,7
tools_company_asana,Asana,CHECKBOX,17,8
tools_company_azure_devops,Azure DevOps,CHECKBOX,17,9
tools_company_microsoft_teams,Microsoft Teams,CHECKBOX,17,10
tools_company_microsoft_project,Microsoft Project,CHECKBOX,17,11
tools_company_notion,Notion,CHECKBOX,17,12
tools_company_basecamp,Basecamp,CHECKBOX,17,13
tools_company_monday,Monday.com,CHECKBOX,17,14
tools_company_miro,Miro,CHECKBOX,17,15
tools_company_wrike,Wrike,CHECKBOX,17,16
tools_company_custom_tool,Custom tool,CHECKBOX,17,17
doc_type,What type of documentation do you write?,CHECKBOX,45,1
doc_tools,What tools do you use to author documentation?,CHECKBOX,45,2
